Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315_of_diluted_wines,Proline,class
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(125.2-134.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.727-inf)\'','\'(979-1119.2]\'',1
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(2.108-2.295]\'','\'(-inf-12.54]\'','\'(97.6-106.8]\'','\'(2.43-2.72]\'','\'(2.71-3.184]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(3.181-3.454]\'','\'(979-1119.2]\'',1
'\'(12.93-13.31]\'','\'(2.258-2.764]\'','\'(2.669-2.856]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(2.629-2.946]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(2.908-3.181]\'','\'(1119.2-1259.4]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(106.8-116]\'','\'(3.59-inf)\'','\'(3.184-3.658]\'','\'(0.236-0.289]\'','\'(1.995-2.312]\'','\'(7.14-8.312]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(1399.6-1539.8]\'',1
'\'(12.93-13.31]\'','\'(2.258-2.764]\'','\'(2.856-3.043]\'','\'(20.3-22.24]\'','\'(116-125.2]\'','\'(2.72-3.01]\'','\'(2.236-2.71]\'','\'(0.342-0.395]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(0.972-1.095]\'','\'(2.908-3.181]\'','\'(698.6-838.8]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(106.8-116]\'','\'(3.01-3.3]\'','\'(3.184-3.658]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(1399.6-1539.8]\'',1
'\'(14.07-14.45]\'','\'(1.752-2.258]\'','\'(2.295-2.482]\'','\'(14.48-16.42]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(1259.4-1399.6]\'',1
'\'(13.69-14.07]\'','\'(1.752-2.258]\'','\'(2.482-2.669]\'','\'(16.42-18.36]\'','\'(116-125.2]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(1259.4-1399.6]\'',1
'\'(14.45-inf)\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(12.54-14.48]\'','\'(88.4-97.6]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(4.796-5.968]\'','\'(0.972-1.095]\'','\'(2.635-2.908]\'','\'(979-1119.2]\'',1
'\'(13.69-14.07]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(14.48-16.42]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(1.678-1.995]\'','\'(7.14-8.312]\'','\'(0.972-1.095]\'','\'(3.454-3.727]\'','\'(979-1119.2]\'',1
