,parents,has_nurs,form,children,housing,finance,social,health,class
0,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_nonprob,health_recommended,recommend
1,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_nonprob,health_priority,priority
2,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_nonprob,health_not_recom,not_recom
3,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_slightly_prob,health_recommended,recommend
4,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_slightly_prob,health_priority,priority
5,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_slightly_prob,health_not_recom,not_recom
6,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_problematic,health_recommended,priority
7,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_problematic,health_priority,priority
8,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_convenient,social_problematic,health_not_recom,not_recom
9,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_nonprob,health_recommended,very_recom
10,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_nonprob,health_priority,priority
11,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_nonprob,health_not_recom,not_recom
12,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_slightly_prob,health_recommended,very_recom
13,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_slightly_prob,health_priority,priority
14,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_slightly_prob,health_not_recom,not_recom
15,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_problematic,health_recommended,priority
16,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_problematic,health_priority,priority
17,parents_usual,has_nurs_proper,form_complete,children_1,housing_convenient,finance_inconv,social_problematic,health_not_recom,not_recom
18,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_nonprob,health_recommended,very_recom
19,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_nonprob,health_priority,priority
20,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_nonprob,health_not_recom,not_recom
21,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_slightly_prob,health_recommended,very_recom
22,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_slightly_prob,health_priority,priority
23,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_slightly_prob,health_not_recom,not_recom
24,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_problematic,health_recommended,priority
25,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_problematic,health_priority,priority
26,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_convenient,social_problematic,health_not_recom,not_recom
27,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_nonprob,health_recommended,very_recom
28,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_nonprob,health_priority,priority
29,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_nonprob,health_not_recom,not_recom
30,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_slightly_prob,health_recommended,very_recom
31,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_slightly_prob,health_priority,priority
32,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_slightly_prob,health_not_recom,not_recom
33,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_problematic,health_recommended,priority
34,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_problematic,health_priority,priority
35,parents_usual,has_nurs_proper,form_complete,children_1,housing_less_conv,finance_inconv,social_problematic,health_not_recom,not_recom
36,parents_usual,has_nurs_proper,form_complete,children_1,housing_critical,finance_convenient,social_nonprob,health_recommended,very_recom
37,parents_usual,has_nurs_proper,form_complete,children_1,housing_critical,finance_convenient,social_nonprob,health_priority,priority
38,parents_usual,has_nurs_proper,form_complete,children_1,housing_critical,finance_convenient,social_nonprob,health_not_recom,not_recom
39,parents_usual,has_nurs_proper,form_complete,children_1,housing_critical,finance_convenient,social_slightly_prob,health_recommended,very_recom
